Data Current as of Date,Application ID,Primary Contractor Name,Contractor Type,Project Type,Technology 1,Technology 2,Technology 3,Project Title,Contractor Street,Contractor City,Contractor State/Province,Contractor Zip/Postal Code,Contractor Website,Award Date,Award Amount (US Dollars)
12/8/20,85219,WAC Lighting,Corporate,Product Development,Green building,Lighting,Solid State,Develop & Demonstrate an energy-efficient solid-state (SS) track lighting system,"44 Harbor Park Dr, Port",Washington,NY,11050,http://www.waclighting.com/,10/2/09,193445
12/8/20,86607,Logical Energy Solutions,Early Stage Company,Product Development,Green building,Building automation,"Monitoring, sensors, and controllers",Logical Energy Analysis & Procurement System,2329 N Career Ave Ste 304,Sioux Falls,SD,57107,http://www.blade-repair.com/,3/11/99,194802
12/8/20,86602,"Sage Electrochromics, Inc.",Early Stage Company,Product Development,Green building,,,Electrochromic Window Trials in NYS,2 Sage Way,Faribault,MN,55021,https://www.sageglass.com/en,6/25/99,195000
12/8/20,86883,National Grid USA,Utility,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Evaluation of Air Cleaning/Purification Technologies,300 Erie Blvd W,Syracuse,NY,13202,http://www.nationalgridus.com,3/29/02,195000
12/8/20,86453,Easco Boiler Corp,Corporate,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Low NOX Steam Heating Boiler,1175 Leggett Ave,Bronx,NY,10474,http://www.easco.com/,10/26/95,195301
12/8/20,86601,"Comfortex, Inc.",Corporate,Product Development,Green building,,,Energy-efficient Window Treatment for Buildings:Energy Efficient Window Treatmen,21 Elm St,Watervliet,NY,12189,https://www.comfortex.com/,3/5/99,195333
12/8/20,86905,"Live Wire Enterprises, Inc.",Early Stage Company,Product Development,Green building,Lighting,,Neon Replacement Project Live Wire Enterprise,124 Rand Pl,Lawrence,NY,11559,http://www.elwirebestbuy.com/,10/10/02,195596
12/8/20,86526,"Genlyte Group, Inc.",Corporate,Product Development,Green building,Lighting,,Energy Saving Indirect Light Fixtures:Energy Saving Indirect Light,3000 Minuteman Rd,Andover,MA,1810,https://www.philips.com/global,11/29/00,196607
12/8/20,87074,Syracuse University,University,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",A Clean Technology for Indoor Air Quaility,University Place,Syracuse,NY,13244,http://www.syr.edu,6/18/04,197736
12/8/20,86431,Elemco Building Controls,Corporate,Product Development,Green building,Building automation,"Monitoring, sensors, and controllers",Building Automation Software Development,1324 Motor Pkwy Ste 112,Hauppauge,NY,11749,https://ebcsystemsnj.com/,3/17/95,198473
12/8/20,87215,Innoventive Power,Corporate,Product Development,Green building,Building automation,"Monitoring, sensors, and controllers",Remote Peak Load Management System for Facilities,70 Duffield Dr Ste 305,South Orange,NJ,7079,http://www.innoventivepower.com/,10/6/05,198550
12/8/20,85258,Rensselaer Polytechnic Institute-LRC,University,Product Development,Green building,Lighting,Daylight harvesting,DaySwitch Photosensors to Reduce Lighting Energy Consumption,21 Union St,Troy,NY,12180,http://www.lrc.rpi.edu/,3/7/06,198745
12/8/20,87075,Evident Technologies Inc.,Corporate,Product Development,Green building,Lighting,Solid State,Development of a High-Efficiency LED based Lighitng System using Nanocrystal,"70 1st St,",Troy,NY,12180,http://evidenttech.com/,6/18/04,199025
12/8/20,86996,"Nupix, LLC",Early Stage Company,Product Development,Green building,,,Fiber Array Electronic Signage,7 W 4th St,Corning,NY,14830,http://www.nupix.com/,12/31/03,199209
12/8/20,87168,"CJS Technology USA, Ltd.",Early Stage Company,Product Development,Green building,,,Development & Demonstrations of CO2 Curing Technology for Concrete Products,37 N Union Rd,Williamsville,NY,14221,http://www.cjstechnology.com/,3/30/05,199500
12/8/20,87266,RPC Photonics Inc.,Corporate,Product Development,Green building,Lighting,Solid State,Ultra-Thin Energy Efficient Luminaire,330 Clay Rd,Rochester,NY,14623,https://www.rpcphotonics.com/,3/31/06,199532
12/8/20,86835,"International Electronic Machines Corp.,",Early Stage Company,Product Development,Green building,Building automation,"Monitoring, sensors, and controllers",Low Cost 360 Degree IR Camera,850 River St,Troy,NY,12180,http://www.iem.net,10/24/01,199836
12/8/20,85277,Syracuse University,University,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Plant-based Air Cleaning Technology for indoor Air Quality (Act-IAQ),University Place,Syracuse,NY,13244,http://www.syr.edu,3/26/07,199935
12/8/20,85259,"International Electronic Machines Corp.,",Early Stage Company,Product Development,Green building,Building automation,"Monitoring, sensors, and controllers",An Integrated Sensor Air Quality Control System (ISAQCS),850 River St,Troy,NY,12180,http://www.iem.net,11/7/05,199999
12/8/20,85196,National Oilheat Research Alliance dba,Laboratory / Research Center,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning","Advanced Venting System for High-Efficiency, Oil-Fired Boilers",600 Cameron Street,Alexandria,VA,22314,https://noraweb.org/,9/1/09,200000
12/8/20,86178,Auterra Inc,Other,Product Development,Green building,Lighting,Solid State,Development of High Luminous Efficacy Green LEDs based on Nanophosphors,2135 Technology Dr,Schenectady,NY,12308,http://www.auterrainc.com,9/4/07,200000
12/8/20,86612,"Rochester Instruments Systems,",Corporate,Product Development,Green building,,,JEMXX Electricity Meters,255 Union St N,Rochester,NY,14605,https://www.ametekpower.com/,1/1/99,200000
12/8/20,86769,"Oberdorfer, LLC",Other,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Heat Exchanger for Home Heating,6259 Thompson Rd,Syracuse,NY,13206,,3/24/01,200000
12/8/20,86796,NuTech Lighting Corp.,Early Stage Company,Product Development,Green building,Lighting,,Energy Star CFL Recessed Can and Ceiling Fan Fixtures,633 Center Ave,Bensalem,PA,19020,https://nutechlights.wordpress.com/,3/23/01,200000
12/8/20,87077,RPC Photonics Inc.,Corporate,Product Development,Green building,Lighting,Solid State,Improving Efficiency and Visibility of LED Signage,330 Clay Rd,Rochester,NY,14623,https://www.rpcphotonics.com/,6/18/04,200000
12/8/20,85437,HFC Hudson Fisonic Corp,Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Demonstration of the Fisonic Device at the Irving Plaza Con Edison Building,233 Broadway,New York,NY,10007,http://fisonicsolutions.com/,6/8/11,201000
12/8/20,86318,Research Foundation of SUNY,University,Product Development,Green building,Building automation,"Monitoring, sensors, and controllers",Wireless Utility Monitoring â€“,"Suite 211Sponsored Programs Administration UB Commons

P.O. Box 9",Albany,NY,12201-0009,https://www.rfsuny.org/,10/2/09,210901
12/8/20,85212,Rensselaer Polytechnic Institute,University,Product Development,Green building,,,Electrompolymeric Dynamic Display,"Research Adm & Finance, 4th Floor West Hall, 110 8th St",Troy,NY,12180,https://www.rpi.edu/,6/3/13,212300
12/8/20,85264,Robert P. Siegel,Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning","Energy Efficient Building Products, Systems, and Smart Range Hood",207 Crosman Ter,Rochester,NY,14620,http://www.rainmt.com,3/21/06,213181
12/8/20,86678,"City Green, Inc.",Consultant,Product Development,Green building,,,Energy-efficient Building Products from Waste,171 Grove St,Clifton,NJ,7013,https://www.citygreenonline.org/,2/7/00,214151
12/8/20,85777,"Alliance for Sustainable Energy, LLC",Laboratory / Research Center,Product Development,Green building,Building automation,"Monitoring, sensors, and controllers",Advanced Buildings Technology,15013 Denver West Parkway,Golden,CO,80401,http://www.allianceforsustainableenergy.org/,6/30/17,223587
12/8/20,86485,"Refron, Inc.,",Corporate,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",CFC/HCFC Refrigeration Separation Technology,3818 33rd St,Long Island City,NY,11101,https://www.aspenrefrigerants.com/,9/1/96,224512
12/8/20,84708,General Electric Co. Gobal Research,Laboratory / Research Center,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Model-base thermostatic control optomization for peak load reduction in small co,"1 Research Circle
Attn:  General Tax & Accounting	Bldg. KW, Room C239
Attn: Bill O'Rourke",Niskayuna,NY,12309,https://www.ge.com/research/,10/15/12,234500
12/8/20,85236,Selux Corporation,Corporate,Product Development,Green building,Lighting,,T5 Fluorescent Lamp Energy-Efficient Luminaire,5 Lumen Ln,Highland,NY,12528,http://www.selux.com,4/30/96,236806
12/8/20,86631,"Standard Ceramics, Inc.,",Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Improved Hot Surface Igniter for Gas/Oil Burners,3625 Highland Ave,Niagara Falls,NY,14305,https://standardceramic.com/,6/11/99,240000
12/8/20,85197,"ECR International, Inc.",Corporate,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Duel Fuel Condensing Hydronic Boiler,2201 Dwyer Ave,Utica,NY,13501,http://www.ecrinternational.com,3/30/10,241257
12/8/20,86189,"ThermoRise, Inc.",Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",DEEP Coil: Energy Efficiecnt HVAC/R Heat Exchange for Residential Buildings,8253 Sugarland Dr,Manlius,NY,13104,,12/27/07,245000
12/8/20,86478,Enernet Corporation,Early Stage Company,Product Development,Green building,Building automation,"Monitoring, sensors, and controllers",RF Thermostat for HVAC Control,307 Dewittshire Rd S,Syracuse,NY,13214,http://enernetcorp.com/,7/17/96,245294
12/8/20,87254,"Heat Wise, Inc.",Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Biodiesel Burning for Homes and Industry,28 Scouting Blvd Ste I,Medford,NY,11763,,3/21/06,245693
12/8/20,86428,University of Rochester,University,Product Development,Green building,,,Commercial Non-Intrusive Load Monitor,509 Hylan Building RC 270140,Rochester,NY,14627,http://www.rochester.edu,12/22/97,246852
12/8/20,85044,Hydronic Specialty Supply,Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Thermal Storage System with Enhanced Stratification and Smart Controls,Box 57,Cassadaga,NY,14718,http://www.hydronicspecialtysupply.com,12/7/15,247720
12/8/20,86724,Hudson Technologies,Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Chiller Performance/Oil Level Monitoring & Optimization:Chiller Performance/Oil,52 Ramland Rd,Orangeburg,NY,10962,https://www.hudsontech.com/,3/29/00,248518
12/8/20,86543,Columbia University,University,Product Development,Green building,,,Precast Concrete Walls Using Recycled Products:Precast Concrete Walls,622 W 168th St,New York,NY,10032,http://www.columbia.edu,3/12/98,248724
12/8/20,86285,"Advanced Climate Technologies, LLC",Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning","Commercialization of European-Style, High-Efficiency, Low-Emissions Wood Boiler",30 Commerce Park Drive,Schenectady,NY,12309,http://www.actbioenergy.com,9/24/08,249280
12/8/20,87302,"Nupix, LLC",Early Stage Company,Product Development,Green building,,,"Electroded Sheets for Large, Reflective Bi-stable Displays",7 W 4th St,Corning,NY,14830,http://www.nupix.com/,8/8/08,249565
12/8/20,87247,Slant/Fin Corporation,Corporate,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",High Efficiency Boilers with Corrosion Coatings,100 Forest Dr,Greenvale,NY,11548,http://www.slantfin.com/,3/1/06,249644
12/8/20,86187,Brookhaven National Lab,Laboratory / Research Center,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",A Study of Liquid Fuel Based Micro-CHP Systems,PO Box 5000,Upton,NY,11973,https://www.bnl.gov/world/,6/16/08,249857
12/8/20,86498,"Rochester Instruments Systems,",Corporate,Product Development,Green building,,,Multifunction Digital Power,255 Union St N,Rochester,NY,14605,https://www.ametekpower.com/,1/16/97,250000
12/8/20,86524,JRS Technology Associates,Other,Product Development,Green building,Lighting,,Dev & Comm of Energy Efficient Ballasts,6391 W Rockburn Hill Rd,Elkridge,MD,21075,,3/30/98,250000
12/8/20,86648,Rensselaer Polytechnic Institute-LRC,University,Product Development,Green building,Lighting,Daylight harvesting,Hybrid Skylighting System:Hybrid Skylighting Systems,21 Union St,Troy,NY,12180,http://www.lrc.rpi.edu/,8/23/99,250200
12/8/20,86483,"Heat Wise, Inc.",Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Advanced Ceramic Gas-Fired Commercial Burner,28 Scouting Blvd Ste I,Medford,NY,11763,,8/8/96,250590
12/8/20,86503,"Reveo, Inc.",Corporate,Product Development,Green building,,,Develop Energy-efficient Smart Window Technology:New Smart Window Technology,3 Westchester Plz Ste 237,Elmsford,NY,10523,https://reveo.com/,2/24/97,255693
12/8/20,86456,"Stor-Ex, New York, Inc.,",Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",High-efficiency Indirect Water Heater:High Efficiency Indirect Water Heater,1710 Flushing Ave,Flushing,NY,11385,,11/2/95,259782
12/8/20,85472,"Sensorcon, Inc.",Early Stage Company,Product Development,Green building,Building automation,"Monitoring, sensors, and controllers",Wireless Gas Sensors for HVAC Control,425 Essjay Rd Ste 100,Williamsville,NY,14221,https://sensorcon-sensing-products-by-molex.myshopify.com/,6/29/11,259840
12/8/20,86176,"New Visual Media Group, LLC",Early Stage Company,Product Development,Green building,,,Energy-Efficient Billboard Displays,6 Industrial Way W Ste G,Eatontown,NJ,7724,https://newvisualmediagroup.com/,4/15/08,270000
12/8/20,104735,Syracuse University,University,Product Development,Green building,Systems,HVAC,"Triathlon 2030: Gas-Fired, Cold-Climate, Five-Ton Heat Pump",University Place,Syracuse,NY,13244,http://www.syr.edu,1/15/19,273167
12/8/20,84593,National Oilheat Research Alliance,Laboratory / Research Center,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Evaluation of Low-Cost Polymer Heat Exchangers,600 Cameron Street,Alexandria,VA,22314,https://noraweb.org/,3/23/11,276074
12/8/20,86787,Brookhaven National Lab,Laboratory / Research Center,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Biodiesel Blends for Oil-fired Heating,PO Box 5000,Upton,NY,11973,https://www.bnl.gov/world/,3/13/01,279999
12/8/20,85045,Hydronic Specialty Supply,Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Plug-and-Play Component and Smart Control Pre-assembly for Biomass Boilers,Box 57,Cassadaga,NY,14718,http://www.hydronicspecialtysupply.com,10/4/16,283700
12/8/20,87022,"ThermoRise, Inc.",Early Stage Company,Product Development,Green building,Systems,Water heating,Spiral Dip Tube for Water Heaters,8253 Sugarland Dr,Manlius,NY,13104,,2/18/04,288999
12/8/20,84862,NorthWrite,Early Stage Company,Product Development,Green building,Building automation,"Monitoring, sensors, and controllers",Internet-Based Small Building Controls with Diagnostics and Smart-Grid Connectiv,19201 SW Teton Ave.,Tualatin,OR,97062,http://www.joulesmart.com,11/18/13,289500
12/8/20,85192,SPD Control Systems Corporation,Early Stage Company,Product Development,Green building,,,SPD Smart Glass Building Control System,25 Health Sciences Dr Ste 212B,Stony Brook,NY,11790,http://www.spdcontrolsystems.com/,12/8/08,290279
12/8/20,86409,Brookhaven National Lab,Laboratory / Research Center,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Develop Improved Oil-fired Heating System:Oil Fired Heating System,PO Box 5000,Upton,NY,11973,https://www.bnl.gov/world/,4/21/95,291623
12/8/20,85234,Syracuse University,University,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Energy Efficient Reduction of Indoor Formaldehyde Exposure by Dynamic Integratio,University Place,Syracuse,NY,13244,http://www.syr.edu,5/14/10,298265
12/8/20,84698,Rensselaer Polytechnic Institute,University,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Develop Synthetic Jets to Improve Performance of Variable Air Volume System,"Research Adm & Finance, 4th Floor West Hall, 110 8th St",Troy,NY,12180,https://www.rpi.edu/,2/9/12,299147
12/8/20,85035,"Autronic Plastics, Inc.",Corporate,Product Development,Green building,Lighting,Solid State,"LED Luminaires: Clean Room, Containment Region, and Surgical Suite Application",1150 Motor Parkway,Central Islip,NY,11722,http://www.clearvulighting.com/,12/8/15,299365
12/8/20,86225,Ecology & Environment Enginerring PC,Corporate,Product Development,Green building,Building automation,"Monitoring, sensors, and controllers",Development of GreenMeter System for Building Energy Monitoring and Management,1 Columbia Circle,Albany,NY,12203,http://www.ene.com/,9/12/08,299671
12/8/20,84890,"Ephesus Lighting, Inc.",Corporate,Product Development,Green building,Lighting,Solid State,LED Stadium Luminaire,125 E Jefferson St,Syracuse,NY,13202,http://www.ephesuslighting.com,4/14/14,300000
12/8/20,86255,Columbia University,University,Product Development,Green building,,,Lightweight Concrete Wall Panel for Building Envelope,622 W 168th St,New York,NY,10032,http://www.columbia.edu,9/24/08,300000
12/8/20,84888,"Autronic Plastics, Inc.",Corporate,Product Development,Green building,Lighting,Solid State,Intelligent Low-Voltage Lighting System,1150 Motor Parkway,Central Islip,NY,11722,http://www.clearvulighting.com/,2/4/14,307188
12/8/20,86486,Enviromaster International Corporation,Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning","Gas-fired, Thru-the-Wall Heating System",2201 Dwyer Ave,Utica,NY,13501,https://emiretroaire.com/home,6/29/99,309607
12/8/20,87400,Comfortex Window Fashions,Corporate,Product Development,Green building,,,Energy Saving Dynamic Windows,21 Elm St,Watervliet,NY,12189,https://www.comfortex.com/,3/11/10,329100
12/8/20,84705,Demand Response Partners,Early Stage Company,Product Development,Green building,,,Demand Response Ancillary Services: Demand Response Partners Inc.,360 Delaware Ave Ste 406,Buffalo,NY,14202,https://cpowerenergymanagement.com/,2/7/12,332363
12/8/20,85143,"R-Display and Lighting, LLC",Early Stage Company,Product Development,Green building,,,Scale-up and Commercialization of Advanced Materials for OLED Lighting,1900 Empire Blvd Ste 314,Webster,NY,14580,http://www.r-displayandlighting.com,9/30/16,334000
12/8/20,86608,"Insight Technologies, Inc",Corporate,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Two-stage Oil Burner with Load-tracking Control,2600 Demers Ave Ste 101,Grand Forks,ND,58201,https://www.greatinsight.com/,6/29/99,335091
12/8/20,85241,"Industrialized Buildings International,",Early Stage Company,Product Development,Green building,,,Energy-Efficient Building Technology Development,86 Winfield Ave,Harrison,NY,10528,http://interstateibc.org/,1/19/01,336350
12/8/20,148694,Phase Innovations,Early Stage Company,Product Development,Green building,Systems,HVAC,Modular Membrane Systems for Dehumidification,5185 County Road 36,Honeoye,NY,14471,https://www.phaseinnovations.com/,2/11/19,342500
12/8/20,86248,United Environment and Energy LLC,Early Stage Company,Product Development,Green building,,,An Intelligent Window Product,111 Ridge Rd,Horseheads,NY,14845,http://unitedee.com/,10/27/09,343030
12/8/20,85660,"Mechanical Solutions, Inc.",Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Super Charger for Cold Climates,431 New Karner Road Suite 1C,Albany,NY,12205,http://www.mechsol.com,3/6/14,345557
12/8/20,86682,Brookhaven National Lab,Laboratory / Research Center,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Variable Firing Rate Oil Burner/Pulsed Fuel Control,PO Box 5000,Upton,NY,11973,https://www.bnl.gov/world/,2/8/00,350278
12/8/20,84707,Calm Energy Inc.,Early Stage Company,Product Development,Green building,Building automation,"Monitoring, sensors, and controllers",Low-Cost Automated Building Load Controls for Small Commercial Buildings,280 Merrick Rd,Lynbrook,NY,11563,http://www.calmenergyinc.com,10/28/11,370000
12/8/20,87185,"Heat Wise, Inc.",Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning","Development of Low Power, Commercial Multi-fuel Burner:Low Power, Commercial Mul",28 Scouting Blvd Ste I,Medford,NY,11763,,3/18/05,392629
12/8/20,85765,Syracuse University,University,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Micro-Environmental Control System for Commercial Buildings,University Place,Syracuse,NY,13244,http://www.syr.edu,2/19/16,399535
12/8/20,84777,Ephesus Technologies LLC,Corporate,Product Development,Green building,Lighting,Solid State,Development of Solid State Lighting (SSL) parking lot/street lights,125 E Jefferson St,Syracuse,NY,13202,https://www.eaton.com/us/en-us.html,7/17/12,400000
12/8/20,85645,Calmar Research Corporation,Early Stage Company,Product Development,Green building,Design,,High Strength Insulated Concrete Block,620 Old Liverpool Rd,Liverpool,NY,13088,http://www.calmarresearch.com/NF/home.htm,10/15/13,404094
12/8/20,84883,HFC Hudson Fisonic Corp,Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Supersonic Nozzle to Improve Effectiveness of Steam Heating/Domestic Hot Water,233 Broadway,New York,NY,10007,http://fisonicsolutions.com/,4/15/14,422000
12/8/20,84887,Ecovative Design LLC,Corporate,Product Development,Green building,Design,,"Development of a Glue Free, Laminar-Based Sheathing Material",70 Cohoes Ave Ste 103,Green Island,NY,12183,http://ecovativedesign.com/,1/27/14,442079
12/8/20,86417,"Heat Wise, Inc.",Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Advanced Oil Burner Development and Demonstration,28 Scouting Blvd Ste I,Medford,NY,11763,,8/30/94,448999
12/8/20,85040,Syracuse University,University,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Research and Develop a Flame-Assisted Fuel Cell,University Place,Syracuse,NY,13244,http://www.syr.edu,8/7/15,450000
12/8/20,86484,"Insight Technologies, Inc",Corporate,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Flame Quality Indicator OEM Oil Burner Control,2600 Demers Ave Ste 101,Grand Forks,ND,58201,https://www.greatinsight.com/,6/29/99,453423
12/8/20,86542,"Applied Energy Group, Inc.",Consultant,Product Development,Green building,Building automation,"Monitoring, sensors, and controllers",Energy-Efficient Boiler Controls: PLC Boiler Controls,1377 Motor Parkway Suite 401,Islandia,NY,11749,https://appliedenergygroup.com/,2/21/98,474597
12/8/20,86457,Enviromaster International Corporation,Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",HFC Ductless Air Conditioning System,2201 Dwyer Ave,Utica,NY,13501,https://emiretroaire.com/home,2/27/96,481974
12/8/20,84885,ThermoLift Inc.,Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Natural Gas Fired Heat Pump for HVAC and DHW based on the Vuilleumier Thermodyna,1000 Innovation Road Advanced Energy Research and Technology Center,Stony Brook,NY,11794,http://www.tm-lift.com,3/26/14,482772
12/8/20,84993,Syracuse University,University,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Innovation Accelerator: Strengthening Central New York State's Regional Cluster,University Place,Syracuse,NY,13244,http://www.syr.edu,3/4/15,490674
12/8/20,85237,"Utica Boilers, Inc.",Corporate,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning","Three-pass, high-efficiency, oil-fired, residential, hydronic boiler",PO Box 4729,Utica,NY,13504,https://ecrinternational.com/,1/13/97,500000
12/8/20,85269,University of Rochester,University,Product Development,Green building,,,Efficient and Stable Organic Polarized Light-Emitting Diodes as Backlight,509 Hylan Building RC 270140,Rochester,NY,14627,http://www.rochester.edu,9/14/07,500000
12/8/20,86404,"Fulton Boiler Works, Inc.",Corporate,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Advanced Commercial Water Heater,3981 Port Street,Pulaski,NY,13142,http://www.fulton.com,9/1/93,500000
12/8/20,104433,"Mechanical Solutions, Inc.",Early Stage Company,Product Development,Green building,Systems,HVAC,Low-GWP Two-Stage Ultra-Small Centrifugal Compressor for Cold Climate Heat Pumps,431 New Karner Road Suite 1C,Albany,NY,12205,http://www.mechsol.com,6/24/19,500000
12/8/20,85232,Thermo Control Heating Systems Ltd.,Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Thermo Control WB600-C Dual Stage Wood Boiler,129 Goodfellow Ln,Howes Cave,NY,12092,http://www.thermocontrolheating.com,7/8/10,542000
12/8/20,84868,Hydronic Specialty Supply,Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Development of a High-Performance Wood Boiler,Box 57,Cassadaga,NY,14718,http://www.hydronicspecialtysupply.com,11/19/13,545000
12/8/20,86397,"Utica Boilers, Inc.",Corporate,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning","High Efficiency, Low NOX Boiler",PO Box 4729,Utica,NY,13504,https://ecrinternational.com/,9/11/91,578593
12/8/20,84951,"Autronic Plastics, Inc.",Corporate,Product Development,Green building,Lighting,Solid State,New York City Transit Emergency LED Subway Path and Platform Lighting,1150 Motor Parkway,Central Islip,NY,11722,http://www.clearvulighting.com/,10/31/14,582918
12/8/20,85471,United Environment and Energy LLC,Early Stage Company,Product Development,Green building,Design,,Smart Roof Coating Technology,111 Ridge Rd,Horseheads,NY,14845,http://unitedee.com/,5/27/11,599998
12/8/20,84699,Center for Architecture Science and Ecology,University,Product Development,Green building,Design,,Center for Architectural Science and Ecology (RPI-CASE),86 34th St. Suite D601,Brooklyn,NY,11232,http://www.case.rpi.edu/,9/26/11,600000
12/8/20,86430,Carrier Corporation,Corporate,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Small High-Speed Centrifugal Compressors,6350 Thompson Rd,Syracuse,NY,13206,http://www.carrier.com/Carrier+Corporate+Sites/Corporate,9/28/95,600000
12/8/20,86454,"Hi-Tech Ceramics, Inc.,",Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Ultra-Low Emissions Ceramic Burner,22131 S Vermont Ave,Torrance,CA,90502,http://hitechceramics.net/,8/9/95,609596
12/8/20,86908,Saint Vincent's Hospital,Other,Product Development,Green building,Lighting,,Develop New Ultraviolet Germicidal Irradiation System,153 W 11th St # 466,New York,NY,10011,,11/21/02,644380
12/8/20,86638,Brookhaven National Lab,Laboratory / Research Center,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning","Self-powered, Oil-fired Heating System:Self-powered, Oil-fired, Heating System",PO Box 5000,Upton,NY,11973,https://www.bnl.gov/world/,12/7/99,696598
12/8/20,87390,CLD Industries,Early Stage Company,Product Development,Green building,Building automation,"Monitoring, sensors, and controllers",Geothermal Monitoring Systems,315 E Kerley Corners Rd,Tivoli,NY,12583,http://cld-industries.com/,3/24/10,699990
12/8/20,85263,"Air Innovations, Inc.",Early Stage Company,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Demonstration of an Advanced ERV for Improved Air Quality and Energy Utilization,7000 Performance Drive,North Syracuse,NY,13212,https://airinnovations.com/,4/16/10,994562
12/8/20,85523,"Home Innovation Research Labs, Inc.",Laboratory / Research Center,Product Development,Green building,Design,,Deep Energy Envelope Upgrades Using Retrofit Insulated Panels,400 Prince Georges Blvd.,Upper Marlboro,Maryland,20774,https://www.homeinnovation.com/,2/23/12,1050000
12/8/20,86455,"Insight Technologies, Inc",Corporate,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Gas-Fired Flame Quality Indicator,2600 Demers Ave Ste 101,Grand Forks,ND,58201,https://www.greatinsight.com/,9/11/95,1154486
12/8/20,86396,Niagara Blower Company,Corporate,Product Development,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Advanced Liquid Desiccant Cooling System:Advanced Liquid Desiccant System,91 Sawyer Ave,Tonawanda,NY,14150,http://www.niagarablower.com/,2/21/92,1992888
12/8/20,84686,MicroGen Systems,Early Stage Company,Product Development,Green building,Building automation,"Monitoring, sensors, and controllers",Development and Commercialization of Microgen's BOLT Energy Harvestor Technology,150 Lucius Gordon Dr,West Henrietta,NY,14586,https://www.microgensystems.com/,6/13/11,2218065
12/8/20,85979,Windo-Therm LLC,Early Stage Company,Research Study,Green building,,,Air Leakage Testing of a Window Insulating Product,90 Church St,Hoosick Falls,NY,12090,https://www.arc-dec.com/,5/31/06,563
